collection_no,occurrences.genus_reso,occurrences.genus_name,original.genus_reso,original.genus_name,collections.stage,collections.ma_max,collections.ma_min
13485,,Castor,,Sinocastor,,5.33,1.81
13485,,Myomimus,,,,3.6,1.81
13485,,Sicista,,,,3.6,1.81
13485,,Sicista,,,,3.6,1.81
13485,,Paralactaga,,,,3.6,1.81
13485,,Sminthoides,,,,3.6,1.81
13485,,Sinocricetus,,,,3.6,1.81
13485,,Neocricetodon,,Kowalskia,,3.6,1.81
13485,,Pseudomeriones,,,,3.6,1.81
13485,,Prosiphneus,,,,3.6,1.81
13485,,Mimomys,,,,3.6,1.81
13485,,Apodemus,,,,3.6,1.81
13485,,Apodemus,,,,11.61,7.25
13485,,Micromys,,,,11.61,7.25
13486,,Eucastor,,,Piacenzian,11.61,7.25
13486,,Prosiphneus,,,Piacenzian,11.61,7.25
13486,cf.,Nannocricetus,,,Piacenzian,11.61,7.25
13486,,Mimomys,,,Piacenzian,11.61,7.25
13486,,Germanomys,,,Piacenzian,11.61,7.25
13486,,Orientalomys,,,Piacenzian,6.8,4
13486,,Apodemus,,,Piacenzian,5.33,1.81
13486,,Mus,,,Piacenzian,9,6.8
13486,,Rattus,,,Piacenzian,0.011,0
13486,,Paralactaga,,,Piacenzian,0.011,0
13486,,Sminthoides,,,Piacenzian,9,6.8
13489,,Eutamias,,,Tortonian,29,21
13489,,Myomimus,,,Tortonian,29,21
13489,,Sayimys,,,Tortonian,29,21
13489,,Kanisamys,,,Tortonian,29,21
13489,,Copemys,,,Tortonian,29,21
13489,,Myocricetodon,,,Tortonian,57.2,57.2
13489,,Antemus,,,Tortonian,57.2,57.2
13503,n. gen.,Neoanchimys,,,,57.4,57.3
13522,,Chapalmatherium,,Protohydrochoerus,Tortonian,57.6,57.6
13738,cf.,Sciurus,,,,57.6,55.4
13738,,Rattus,,,,56.8,56.7
13778,,Kiyutherium,,,,56.8,56.7
14211,,Cephalomys,,,,56.8,56.8
14211,,Cephalomys,,,,57,56.8
14211,,Asteromys,,,,56.2,56.2
14211,,Eosteiromys,,,,55.7,53
14211,n. gen.,Scotamys,,,,57.4,57.4
14211,n. gen.,Litodontomys,,,,55.7,55.6
15072,,Alagomys,,,Thanetian,55.7,55.6
15072,,Paramys,,Paramys,Thanetian,55.7,55.6
15075,,Paramys,,,Thanetian,55.7,55.6
15079,,Paramys,,,Thanetian,55.7,55.6
15083,,Paramys,,,Thanetian,55.7,55.6
15085,,Microparamys,,,Thanetian,55.7,52.9
15085,,Microparamys,,,Thanetian,55.7,52.9
15085,,Reithroparamys,,,Thanetian,52.9,52.9
15092,,Paramys,,,Thanetian,53.9,53.8
15094,cf.,Paramys,,,Thanetian,52.7,52.7
15154,,Franimys,,,Thanetian,55.7,52.3
15197,,Acritoparamys,,Paramys,Thanetian,53.8,53
15219,?,Franimys,,,Thanetian,53.8,53
15222,,Paramys,,,Ypresian,52.9,52.9
15222,cf.,Acritoparamys,,Reithroparamys,Ypresian,52.9,52.4
15225,,Paramys,,,Ypresian,52.7,52.3
15225,,Paramys,,,Ypresian,53.7,53
15225,,Thisbemys,,,Ypresian,53.7,53
15225,,Lophiparamys,,,Ypresian,55.8,55.8
15225,,Mytonomys,,Pseudotomus,Ypresian,55.8,55.8
15273,,Paramys,,,Ypresian,55.7,55.7
15273,,Mytonomys,,Pseudotomus,Ypresian,55.7,55.7
15277,,Paramys,,,Ypresian,55.4,54.2
15277,,Paramys,,,Ypresian,55.4,54.1
15290,,Reithroparamys,,,Ypresian,53.1,53.1
15293,,Paramys,,,Ypresian,53.1,53.1
15304,,Paramys,,,Ypresian,55.7,54.5
15310,,Mytonomys,,Pseudotomus,Ypresian,55.4,54.5
15317,,Paramys,,,Ypresian,55.7,54.5
15327,,Knightomys,,,Ypresian,54.5,54.5
15329,,Acritoparamys,,Reithroparamys,Ypresian,55.4,55.4
15334,,Paramys,,,Ypresian,53.9,53.8
15338,,Paramys,,,Ypresian,53.9,53.8
15338,,Paramys,,,Ypresian,53.9,53.8
15338,,Acritoparamys,,Reithroparamys,Ypresian,55.7,52.6
15346,,Paramys,,,Thanetian,53.8,53.7
15346,cf.,Acritoparamys,,Reithroparamys,Thanetian,53.7,52.4
15347,,Paramys,,,Thanetian,52.4,52.4
15347,cf.,Acritoparamys,,Reithroparamys,Thanetian,52.4,52.4
15350,,Paramys,,,Ypresian,52.4,52.4
15356,cf.,Acritoparamys,,Reithroparamys,Ypresian,52.3,52.3
15357,,Paramys,,,Ypresian,52.3,52.3
15357,,Paramys,,,Ypresian,55.7,52.4
15357,cf.,Acritoparamys,,Reithroparamys,Ypresian,53.7,52.8
15362,,Paramys,,,Ypresian,52.9,52.8
15365,,Paramys,,,Ypresian,53.7,53.7
15366,,Paramys,,,Ypresian,53.7,53.6
15370,,Notoparamys,,Reithroparamys,Ypresian,53.7,53.6
15374,,Paramys,,,Ypresian,53.7,53.6
15377,,Paramys,,,Ypresian,53.7,53.6
15377,,Acritoparamys,,Reithroparamys,Ypresian,53.7,53.6
15379,,Reithroparamys,,Paramys,Ypresian,53.7,53.6
15383,,Paramys,,,Ypresian,53.7,53.6
15400,,Acritoparamys,,Reithroparamys,Ypresian,53.7,53.6
15407,,Mytonomys,,Pseudotomus,Ypresian,53.7,53.6
15413,,Paramys,,,Ypresian,53.7,53.6
15413,,Acritoparamys,,Reithroparamys,Ypresian,53.7,53.6
15413,,Mytonomys,,Pseudotomus,Ypresian,53.7,53.6
15418,,Paramys,,,Ypresian,53.7,53.6
15419,,Thisbemys,,,Ypresian,54.7,54.6
15423,,Mytonomys,,Pseudotomus,,53.5,53.5
15431,,Knightomys,,,Ypresian,52.3,52.2
15433,,Knightomys,,,Ypresian,53.1,53.1
15441,,Mytonomys,,Paramys,Ypresian,52.3,52.2
15446,,Paramys,,,Ypresian,55.6,55.6
15446,,Paramys,,,Ypresian,55.6,55.6
15446,,Lophiparamys,,,Ypresian,55.6,55.6
15446,,Apatosciuravus,,,Ypresian,55.7,54.9
15446,,Knightomys,,,Ypresian,52.9,52.9
15446,,Knightomys,,,Ypresian,52.7,52.7
15446,,Knightomys,,,Ypresian,54.7,54.6
15446,,Mattimys,,,Ypresian,54.9,54.8
15447,,Paramys,,,Ypresian,54.9,54.8
15447,,Apatosciuravus,,,Ypresian,55.3,55.2
15447,,Knightomys,,,Ypresian,55.3,55.2
15448,,Paramys,,,Ypresian,55.3,55.2
15448,,Paramys,,,Ypresian,55.3,55.2
15448,,Lophiparamys,,,Ypresian,55.3,55.2
15448,,Apatosciuravus,,,Ypresian,55.3,55.2
15448,,Knightomys,,,Ypresian,55.3,55.2
15448,,Knightomys,,,Ypresian,55.3,55.2
15448,,Knightomys,,,Ypresian,55.3,55.2
15448,,Pauromys,,,Ypresian,55.3,55.2
15450,,Paramys,,,Ypresian,55.2,55.2
15451,,Microparamys,,,Ypresian,55.2,55.2
15454,,Paramys,,,Ypresian,54.9,54.9
15455,,Paramys,,,Ypresian,54.9,54.9
15456,,Paramys,,,Ypresian,54.9,54.9
15458,,Acritoparamys,,,Ypresian,54.9,54.9
15458,cf.,Paramys,,,Ypresian,54.9,54.9
15458,,Paramys,,,Ypresian,54.9,54.9
15458,,Tuscahomys,,Reithroparamys,Ypresian,54.9,54.9
15472,,Paramys,,,Ypresian,54.9,54.9
15478,,Sciuravus,,,Ypresian,54.9,54.9
15479,,Paramys,,,Ypresian,54.9,54.9
15480,,Paramys,,,Ypresian,54.9,54.9
15485,,Paramys,,,Ypresian,54.9,54.9
15485,,Apatosciuravus,,,Ypresian,54.9,54.9
15491,,Paramys,,,Ypresian,54.9,54.9
15491,,Acritoparamys,,Reithroparamys,Ypresian,54.9,54.9
15493,,Paramys,,,Ypresian,54.9,54.6
15493,,Franimys,,,Ypresian,54.9,54.6
15493,,Microparamys,,,Ypresian,54.9,54.6
15493,,Acritoparamys,,Paramys,Ypresian,54.6,54.6
15495,,Paramys,,,Ypresian,54.6,54.6
15503,,Paramys,,,Ypresian,54.6,54.6
15504,,Paramys,,,Ypresian,54.6,54.6
15504,,Microparamys,,,Ypresian,54.6,54.6
15505,,Paramys,,,Ypresian,54.6,54.6
15505,,Paramys,,,Ypresian,54.6,54.6
15505,cf.,Knightomys,,Dawsonomys,Ypresian,54.6,54.6
15507,,Paramys,,,Ypresian,54.6,54.6
15507,,Paramys,,,Ypresian,54.6,54.6
15507,cf.,Knightomys,,,Ypresian,54.6,54.6
15507,cf.,Knightomys,,Dawsonomys,Ypresian,54.6,54.2
15509,,Paramys,,,Ypresian,54.6,54.2
15510,,Paramys,,,Ypresian,53.5,53.5
15510,,Paramys,,,Ypresian,53.4,53.4
15510,,Franimys,,,Ypresian,53.3,53.2
15510,cf.,Knightomys,,,Ypresian,53.3,53.2
15510,cf.,Knightomys,,Dawsonomys,Ypresian,53.3,53.2
15512,,Paramys,,,Ypresian,53.3,53.2
15512,,Paramys,,,Ypresian,53.3,53.2
15512,cf.,Knightomys,,,Ypresian,53.1,53
15512,cf.,Knightomys,,Dawsonomys,Ypresian,53.1,53
15513,,Paramys,,,Ypresian,53.1,53
15514,,Paramys,,,Ypresian,53.1,53
15514,cf.,Knightomys,,,Ypresian,53.1,53
15515,,Paramys,,,Ypresian,53.1,53
15515,,Acritoparamys,,Paramys,Ypresian,53.1,53
15516,,Paramys,,,Ypresian,53.1,53
15516,,Paramys,,,Ypresian,53.1,53
15516,cf.,Knightomys,,Dawsonomys,Ypresian,53.1,53
15517,,Paramys,,,Ypresian,53.1,53
15518,,Paramys,,,Ypresian,53,53
15518,,Paramys,,,Ypresian,53,53
15518,cf.,Knightomys,,,Ypresian,53,53
15520,,Paramys,,,Ypresian,53,53
15520,,Paramys,,,Ypresian,53,53
15520,cf.,Knightomys,,Dawsonomys,Ypresian,53,53
15521,,Paramys,,,Ypresian,53,53
15522,,Paramys,,,Ypresian,53,53
15522,,Paramys,,,Ypresian,53,53
15522,cf.,Knightomys,,,Ypresian,53,53
15522,cf.,Knightomys,,Dawsonomys,Ypresian,52.8,52.8
15523,,Paramys,,,Ypresian,52.8,52.8
15523,,Paramys,,,Ypresian,52.8,52.8
15523,cf.,Knightomys,,Dawsonomys,Ypresian,52.8,52.8
15524,,Paramys,,,Ypresian,52.6,52.6
15524,,Paramys,,,Ypresian,52.6,52.6
15524,cf.,Knightomys,,Dawsonomys,Ypresian,52.6,52.6
15531,,Paramys,,,Ypresian,53.2,53.2
15531,,Paramys,,,Ypresian,53.2,53.2
15531,cf.,Knightomys,,,Ypresian,53.2,53.2
15531,cf.,Knightomys,,Dawsonomys,Ypresian,55.3,55.3
15532,,Paramys,,,Ypresian,55.3,55.3
15532,,Paramys,,,Ypresian,55.3,55.3
15532,cf.,Knightomys,,,Ypresian,55.3,55.3
15532,cf.,Knightomys,,Dawsonomys,Ypresian,55.2,55.2
15534,,Paramys,,,Ypresian,55.2,55.2
15538,,Paramys,,,Ypresian,55.1,54.9
15538,,Paramys,,,Ypresian,52.8,52.7
15542,,Paramys,,,Ypresian,52.3,52.3
15543,,Paramys,,,Ypresian,52.3,52.2
15543,,Paramys,,,Ypresian,53.7,53.7
15544,,Paramys,,,Ypresian,54.4,54.4
15544,cf.,Mytonomys,,Pseudotomus,Ypresian,54.4,54.4
15546,,Paramys,,,Ypresian,52.9,52.5
15548,,Paramys,,,Ypresian,52.9,52.5
15548,,Paramys,,,Ypresian,52.5,52.5
15548,cf.,Knightomys,,,Ypresian,52.5,52.5
15548,cf.,Mytonomys,,Leptotomus,Ypresian,52.5,52.5
15550,,Paramys,,,Ypresian,52.9,52.8
15551,,Paramys,,,Ypresian,52.9,52.8
15551,,Paramys,,,Ypresian,52.4,52.4
15551,cf.,Knightomys,,,Ypresian,52.4,52.4
15551,cf.,Mytonomys,,Pseudotomus,Ypresian,52.4,52.4
15552,cf.,Paramys,,,Ypresian,55.9,48.5
15553,,Paramys,,,Ypresian,55.9,48.5
15553,,Paramys,,,Ypresian,54.2,52.1
15553,cf.,Knightomys,,Dawsonomys,Ypresian,54.2,52.1
15553,cf.,Mytonomys,,Leptotomus,Ypresian,53.5,52.8
15554,,Paramys,,,Ypresian,56.8,37.3
15554,,Paramys,,,Ypresian,55.4,55.2
15554,cf.,Knightomys,,,Ypresian,53.8,53.8
15554,cf.,Mytonomys,,Pseudotomus,Ypresian,55.8,55.8
15555,,Paramys,,,Ypresian,54.9,54.9
15555,,Paramys,,,Ypresian,53.8,53.3
15556,,Paramys,,,Ypresian,53.8,53
15556,,Paramys,,,Ypresian,53.8,53.8
15556,cf.,Mytonomys,,Pseudotomus,Ypresian,53.9,53.9
15557,,Paramys,,,Ypresian,53.9,53.9
15557,,Paramys,,,Ypresian,54.2,54.2
15557,cf.,Knightomys,,,Ypresian,54.2,54.2
15558,,Paramys,,,Ypresian,54.4,54.2
15558,,Paramys,,,Ypresian,54.3,54.2
15558,cf.,Knightomys,,,Ypresian,54.3,54.2
15558,cf.,Knightomys,,Dawsonomys,Ypresian,54.7,54.5
15560,,Paramys,,,Ypresian,54.1,54.1
15560,,Paramys,,,Ypresian,54.1,54.1
15563,,Paramys,,,Ypresian,54.1,54.1
15563,,Paramys,,,Ypresian,54.1,54.1
15564,,Paramys,,,Ypresian,54.3,54.3
15564,,Paramys,,,Ypresian,54.3,54.3
15564,cf.,Knightomys,,Dawsonomys,Ypresian,54.1,53.3
15566,,Paramys,,,Ypresian,54.2,54.2
15566,cf.,Knightomys,,,Ypresian,54.2,54
15568,,Paramys,,,Ypresian,54,54
15583,,Paramys,,,Ypresian,52.2,52.2
15583,,Microparamys,,,Ypresian,52.2,52.2
15583,,Strathcona,,,Ypresian,57.6,52.1
15583,,Strathcona,,,Ypresian,55.9,55.9
15586,,Paramys,,Acritoparamys,Ypresian,55.9,55.9
15586,,Acritoparamys,,,Ypresian,55.9,55.9
15586,,Paramys,,,Ypresian,55.7,55.7
15587,,Acritoparamys,,,Ypresian,55.4,55.4
15587,,Paramys,,,Ypresian,55.4,55.4
15589,,Paramys,,,Ypresian,55,55
15589,,Acritoparamys,,,Ypresian,54.7,54.7
15589,,Paramys,,,Ypresian,55.5,55.5
15592,,Paramys,,,Ypresian,55.5,55.5
15597,,Reithroparamys,,,Ypresian,55.1,55
15650,,Paramys,,,Ypresian,55,55
15651,,Paramys,,,Ypresian,55.6,55.5
15652,,Notoparamys,,Leptotomus,Ypresian,54.5,54.2
15660,,Paramys,,,Ypresian,55,55
15660,,Mattimys,,Paramyinae,Ypresian,54.6,54.2
15661,,Paramys,,,Ypresian,55.5,55.5
15661,,Acritoparamys,,,Ypresian,55.5,55.4
15662,,Paramys,,,Ypresian,55.5,55.5
15662,,Paramys,,,Ypresian,51.7,51.6
15662,,Knightomys,,,Ypresian,52.5,52.5
15662,,Dawsonomys,,,Ypresian,54.8,54.8
15663,,Paramys,,,Ypresian,52.8,52.7
15663,,Knightomys,,,Ypresian,53.7,51.8
15663,,Paramys,,Thisbemys,Ypresian,54.9,53.1
15665,,Paramys,,,Ypresian,53.7,51.8
15669,,Sciuravus,,,Ypresian,52.9,51.8
15669,,Knightomys,,,Ypresian,54.9,54.8
15674,cf.,Reithroparamys,,,Ypresian,54.5,54.3
15674,cf.,Acritoparamys,,,Ypresian,53.6,53.6
15676,cf.,Acritoparamys,,,Ypresian,53.6,53.6
15676,cf.,Knightomys,,,Ypresian,53.6,53.6
15677,cf.,Microparamys,,,Ypresian,52.1,51.9
15678,cf.,Microparamys,,,Ypresian,52,52
15679,,Paramys,,,Ypresian,52,52
15680,,Paramys,,,Ypresian,52,52
15680,,Paramys,,,Ypresian,55.8,55.8
15680,,Paramys,,,Ypresian,52.1,52.1
15682,,Paramys,,,Ypresian,52.1,52.1
15683,,Paramys,,,Ypresian,52.1,52.1
15684,,Paramys,,,Ypresian,52.1,52.1
15690,,Paramys,,,Ypresian,52.1,52.1
15691,,Paramys,,,Ypresian,52.1,52.1
15692,,Microparamys,,,Ypresian,52.1,52.1
15692,,Paramys,,,Ypresian,52.1,52.1
15694,,Microparamys,,,Ypresian,52.1,52.1
15694,,Paramys,,,Ypresian,52.1,52.1
15695,,Paramys,,,Ypresian,52.1,52.1
15697,,Acritoparamys,,,Ypresian,52.1,52.1
15697,,Paramys,,,Ypresian,52.1,52.1
15697,,Paramys,,,Ypresian,55.3,54.9
15699,,Paramys,,,Ypresian,53.8,53.7
15699,,Paramys,,,Ypresian,53.7,53.7
15700,,Microparamys,,,Ypresian,53.7,53.7
15701,,Acritoparamys,,,Ypresian,52.5,52.4
15701,,Microparamys,,,Ypresian,52.5,52.4
15701,,Paramys,,,Ypresian,52,52
15701,,Paramys,,,Ypresian,52,52
15702,,Acritoparamys,,,Ypresian,52,52
15702,,Paramys,,,Ypresian,52,52
15703,,Paramys,,,Ypresian,52,52
15705,,Paramys,,,Ypresian,53,53
15705,,Paramys,,,Ypresian,53,53
15706,,Paramys,,,Ypresian,53,53
15707,,Paramys,,,Ypresian,53,53
15710,,Sciuravus,,,Ypresian,53,53
15710,,Paramys,,Paramys,Ypresian,53,53
15716,,Paramys,,,Ypresian,53,53
15719,,Tuscahomys,,,Ypresian,52.1,52.1
15719,,Tuscahomys,,,Ypresian,55.8,54.6
15719,,Corbarimys,,,Ypresian,55.7,53.1
15719,,Franimys,,,Ypresian,55.3,55.2
15719,,Paramys,,Paramys,Ypresian,53.7,53
15719,,Paramys,,Paramys,Ypresian,52.1,51.9
15719,,Tuscahomys,,Rodentia,Ypresian,52.1,52.1
15725,,Paramys,,,Ypresian,52.1,52.1
15729,,Paramys,,,Ypresian,52.1,52.1
15729,cf.,Microparamys,,,Ypresian,52.1,52.1
15756,,Paramys,,,Ypresian,50.1,48.7
15758,,Paramys,,,Ypresian,50.1,48.7
15759,,Acritoparamys,,,Ypresian,50,49.9
15759,,Paramys,,,Ypresian,50.1,48.7
15773,,Microparamys,,,Ypresian,50.1,48.7
15779,,Paramys,,,Ypresian,52.5,48.5
15780,,Paramys,,,Ypresian,50.8,50.6
15782,cf.,Notoparamys,,,Ypresian,50.7,50.6
15793,cf.,Paramys,,,Ypresian,50.7,50.6
15805,,Knightomys,,,Ypresian,50.7,50.6
15817,,Acritoparamys,,,Ypresian,50.7,50.6
15833,,Paramys,,,Ypresian,50.7,50.6
15834,,Acritoparamys,,,Ypresian,50.7,50.6
15837,,Microparamys,,,,50.7,50.6
15842,,Paramys,,,Ypresian,50.7,50.6
15845,,Paramys,,,Ypresian,50.7,50.6
15846,,Paramys,,,Ypresian,50.7,50.6
15847,,Paramys,,,Ypresian,50.7,50.6
15865,,Paramys,,,Ypresian,50.7,50.6
15880,,Paramys,,,Ypresian,50.7,50.6
15885,,Paramys,,Paramys,Ypresian,50.7,50.6
15887,,Paramys,,,Ypresian,51.8,50.6
15889,,Paramys,,,Ypresian,51.8,50.6
15895,,Paramys,,,Ypresian,50.7,50.6
15895,,Reithroparamys,,,Ypresian,51.8,50.6
15895,,Lophiparamys,,,Ypresian,51.8,50.6
15901,,Paramys,,,Ypresian,50.7,50.6
15906,,Paramys,,Paramys,Ypresian,50.7,50.6
15910,,Paramys,,Paramys,Ypresian,50.7,50.6
15910,,Lophiparamys,,Paramys,Ypresian,50.7,50.6
15912,,Paramys,,,Ypresian,50.7,50.6
15915,,Paramys,,,Ypresian,50.7,50.6
15915,,Paramys,,,Ypresian,50.7,50.6
15917,,Knightomys,,,Ypresian,50.7,50.6
15917,,Pauromys,,,Ypresian,50.7,50.6
15917,,Microparamys,,,Ypresian,51.5,50.6
15917,?,Mattimys,,,Ypresian,51.5,50.6
15917,,Paramys,,,Ypresian,51.5,50.6
15917,cf.,Thisbemys,,,Ypresian,52.4,50.6
15930,,Paramys,,,Ypresian,50.7,50.6
15930,,Paramys,,,Ypresian,50.7,50.6
15930,,Acritoparamys,,,Ypresian,50.7,50.6
15930,,Microparamys,,,Ypresian,50.7,50.6
15930,,Mattimys,,,Ypresian,50.7,50.6
15930,,Knightomys,,,Ypresian,50.7,50.6
15930,,Knightomys,,,Ypresian,51.8,50.6
15930,,Pauromys,,,Ypresian,51.8,50.6
15932,?,Paramys,,,Ypresian,52.4,50.6
15933,,Paramys,,,Ypresian,51.8,50.6
15933,,Paramys,,,Ypresian,51.8,50.6
15934,,Paramys,,,Ypresian,51.8,50.6
